invoice_id,submission_date,approval_date,processing_stage,stage_duration_days,approval_days,department,error_flag,approval_status,invoice_amount
INV102,2023-04-17,2023-04-22,Document Entry,3,5,Finance,0,Approved,14500
INV103,2023-04-18,2023-05-03,Verification,11,15,Procurement,0,Approved,50000
INV104,2023-04-19,2023-04-24,Classification,2,5,Finance,1,Approved,9500
INV105,2023-04-20,2023-05-07,Document Entry,11,17,Operations,1,Approved,45000
INV106,2023-04-21,2023-04-26,Classification,3,5,Finance,0,Approved,13000
INV107,2023-04-22,2023-05-13,Verification,13,21,Procurement,1,Approved,72000
INV108,2023-04-23,2023-04-28,Document Entry,4,5,Finance,0,Approved,16000
INV109,2023-04-24,2023-05-09,Document Entry,9,15,Operations,1,Approved,38000
INV110,2023-04-25,2023-04-30,Classification,3,5,Finance,0,Approved,10500
INV111,2023-04-26,2023-05-17,Verification,14,21,Procurement,1,Approved,76000
INV112,2023-04-27,2023-05-02,Document Entry,3,5,Finance,0,Approved,15000
INV113,2023-04-28,2023-05-13,Verification,9,15,Procurement,0,Approved,49000
INV114,2023-04-29,2023-05-04,Classification,2,5,Finance,1,Approved,11000
INV115,2023-04-30,2023-05-17,Document Entry,10,17,Operations,1,Approved,42000
INV116,2023-05-01,2023-05-06,Classification,3,5,Finance,0,Approved,12500
INV117,2023-05-02,2023-05-23,Verification,15,21,Procurement,1,Approved,77000
INV118,2023-05-03,2023-05-08,Document Entry,4,5,Finance,0,Approved,15500
INV119,2023-05-04,2023-05-19,Document Entry,8,15,Operations,1,Approved,39000
INV120,2023-05-05,2023-05-10,Classification,3,5,Finance,0,Approved,10500
INV121,2023-05-06,2023-05-27,Verification,16,21,Procurement,1,Approved,79000
INV122,2023-05-07,2023-05-12,Document Entry,3,5,Finance,0,Approved,14000
INV123,2023-05-08,2023-05-23,Verification,10,15,Procurement,0,Approved,51000
INV124,2023-05-09,2023-05-14,Classification,2,5,Finance,1,Approved,9500
INV125,2023-05-10,2023-05-27,Document Entry,9,17,Operations,1,Approved,43000
INV126,2023-05-11,2023-05-16,Classification,3,5,Finance,0,Approved,13000
INV127,2023-05-12,2023-06-02,Verification,14,21,Procurement,1,Approved,75000
INV128,2023-05-13,2023-05-18,Document Entry,4,5,Finance,0,Approved,15500
INV129,2023-05-14,2023-05-29,Document Entry,10,15,Operations,1,Approved,44000
INV130,2023-05-15,2023-05-20,Classification,3,5,Finance,0,Approved,11500
INV131,2023-05-16,2023-06-06,Verification,15,21,Procurement,1,Pending,78000
INV132,2023-05-17,2023-05-22,Document Entry,3,5,Finance,0,Approved,14500
INV133,2023-05-18,2023-06-02,Verification,11,15,Procurement,0,Approved,50000
INV134,2023-05-19,2023-05-24,Classification,2,5,Finance,1,Approved,9500
INV135,2023-05-20,2023-06-06,Document Entry,11,17,Operations,1,Approved,45000
INV136,2023-05-21,2023-05-26,Classification,3,5,Finance,0,Approved,13000
INV137,2023-05-22,2023-06-12,Verification,13,21,Procurement,1,Approved,72000
INV138,2023-05-23,2023-05-28,Document Entry,4,5,Finance,0,Approved,16000
INV139,2023-05-24,2023-06-08,Document Entry,9,15,Operations,1,Approved,38000
INV140,2023-05-25,2023-05-30,Classification,3,5,Finance,0,Approved,10500
INV141,2023-05-26,2023-06-16,Verification,14,21,Procurement,1,Approved,76000
INV142,2023-05-27,2023-06-01,Document Entry,3,5,Finance,0,Approved,15000
INV143,2023-05-28,2023-06-12,Verification,9,15,Procurement,0,Approved,49000
INV144,2023-05-29,2023-06-03,Classification,2,5,Finance,1,Approved,11000
INV145,2023-05-30,2023-06-16,Document Entry,10,17,Operations,1,Approved,42000
INV146,2023-05-31,2023-06-05,Classification,3,5,Finance,0,Approved,12500
INV147,2023-06-01,2023-06-22,Verification,15,21,Procurement,1,Approved,77000
INV148,2023-06-02,2023-06-07,Document Entry,4,5,Finance,0,Approved,15500
INV149,2023-06-03,2023-06-18,Document Entry,8,15,Operations,1,Approved,39000
INV150,2023-06-04,2023-06-09,Classification,3,5,Finance,0,Approved,10500
INV151,2023-06-05,2023-06-26,Verification,16,21,Procurement,1,Approved,79000
INV152,2023-06-06,2023-06-11,Document Entry,3,5,Finance,0,Approved,14000
INV153,2023-06-07,2023-06-22,Verification,10,15,Procurement,0,Approved,51000
INV154,2023-06-08,2023-06-13,Classification,2,5,Finance,1,Approved,9500
INV155,2023-06-09,2023-06-26,Document Entry,9,17,Operations,1,Approved,43000
INV156,2023-06-10,2023-06-15,Classification,3,5,Finance,0,Approved,13000
INV157,2023-06-11,2023-07-02,Verification,14,21,Procurement,1,Approved,75000
INV158,2023-06-12,2023-06-17,Document Entry,4,5,Finance,0,Approved,15500
INV159,2023-06-13,2023-06-28,Document Entry,10,15,Operations,1,Approved,44000
INV160,2023-06-14,2023-06-19,Classification,3,5,Finance,0,Approved,11500
INV161,2023-06-15,2023-07-05,Verification,15,20,Procurement,1,Pending,78000
INV162,2023-06-16,2023-06-21,Document Entry,3,5,Finance,0,Approved,14500
INV163,2023-06-17,2023-07-02,Verification,11,15,Procurement,0,Approved,50000
INV164,2023-06-18,2023-06-23,Classification,2,5,Finance,1,Approved,9500
INV165,2023-06-19,2023-07-06,Document Entry,11,17,Operations,1,Approved,45000
INV166,2023-06-20,2023-06-25,Classification,3,5,Finance,0,Approved,13000
INV167,2023-06-21,2023-07-12,Verification,13,21,Procurement,1,Approved,72000
INV168,2023-06-22,2023-06-27,Document Entry,4,5,Finance,0,Approved,16000
INV169,2023-06-23,2023-07-08,Document Entry,9,15,Operations,1,Approved,38000
INV170,2023-06-24,2023-06-29,Classification,3,5,Finance,0,Approved,10500
INV171,2023-06-25,2023-07-16,Verification,14,21,Procurement,1,Approved,76000
INV172,2023-06-26,2023-07-01,Document Entry,3,5,Finance,0,Approved,15000
INV173,2023-06-27,2023-07-12,Verification,9,15,Procurement,0,Approved,49000
INV174,2023-06-28,2023-07-03,Classification,2,5,Finance,1,Approved,11000
INV175,2023-06-29,2023-07-16,Document Entry,10,17,Operations,1,Approved,42000
INV176,2023-06-30,2023-07-05,Classification,3,5,Finance,0,Approved,12500
INV177,2023-07-01,2023-07-22,Verification,15,21,Procurement,1,Approved,77000
INV178,2023-07-02,2023-07-07,Document Entry,4,5,Finance,0,Approved,15500
INV179,2023-07-03,2023-07-18,Document Entry,8,15,Operations,1,Approved,39000
INV180,2023-07-04,2023-07-09,Classification,3,5,Finance,0,Approved,10500
INV181,2023-07-05,2023-07-26,Verification,16,21,Procurement,1,Approved,79000
INV182,2023-07-06,2023-07-11,Document Entry,3,5,Finance,0,Approved,14000
INV183,2023-07-07,2023-07-22,Verification,10,15,Procurement,0,Approved,51000
INV184,2023-07-08,2023-07-13,Classification,2,5,Finance,1,Approved,9500
INV185,2023-07-09,2023-07-26,Document Entry,9,17,Operations,1,Approved,43000
INV186,2023-07-10,2023-07-15,Classification,3,5,Finance,0,Approved,13000
INV187,2023-07-11,2023-08-01,Verification,14,21,Procurement,1,Approved,75000
INV188,2023-07-12,2023-07-17,Document Entry,4,5,Finance,0,Approved,15500
INV189,2023-07-13,2023-07-28,Document Entry,10,15,Operations,1,Approved,44000
INV190,2023-07-14,2023-07-19,Classification,3,5,Finance,0,Approved,11500
INV191,2023-07-15,2023-08-05,Verification,15,21,Procurement,1,Pending,78000
INV192,2023-07-16,2023-07-21,Document Entry,3,5,Finance,0,Approved,14500
INV193,2023-07-17,2023-08-01,Verification,11,15,Procurement,0,Approved,50000
INV194,2023-07-18,2023-07-23,Classification,2,5,Finance,1,Approved,9500
INV195,2023-07-19,2023-08-05,Document Entry,11,17,Operations,1,Approved,45000
INV196,2023-07-20,2023-07-25,Classification,3,5,Finance,0,Approved,13000
INV197,2023-07-21,2023-08-11,Verification,13,21,Procurement,1,Approved,72000
INV198,2023-07-22,2023-07-27,Document Entry,4,5,Finance,0,Approved,16000
INV199,2023-07-23,2023-08-07,Document Entry,9,15,Operations,1,Approved,38000
INV200,2023-07-24,2023-07-29,Classification,3,5,Finance,0,Approved,10500
INV201,2023-07-25,2023-08-15,Verification,14,21,Procurement,1,Approved,76000
INV202,2023-07-26,2023-07-31,Document Entry,3,5,Finance,0,Approved,15000
INV203,2023-07-27,2023-08-11,Verification,9,15,Procurement,0,Approved,49000
INV204,2023-07-28,2023-08-02,Classification,2,5,Finance,1,Approved,11000
INV205,2023-07-29,2023-08-15,Document Entry,10,17,Operations,1,Approved,42000
INV206,2023-07-30,2023-08-04,Classification,3,5,Finance,0,Approved,12500
INV207,2023-07-31,2023-08-21,Verification,15,21,Procurement,1,Approved,77000
INV208,2023-08-01,2023-08-06,Document Entry,4,5,Finance,0,Approved,15500
INV209,2023-08-02,2023-08-17,Document Entry,8,15,Operations,1,Approved,39000
INV210,2023-08-03,2023-08-08,Classification,3,5,Finance,0,Approved,10500
INV211,2023-08-04,2023-08-25,Verification,16,21,Procurement,1,Approved,79000
INV212,2023-08-05,2023-08-10,Document Entry,3,5,Finance,0,Approved,14000
INV213,2023-08-06,2023-08-21,Verification,10,15,Procurement,0,Approved,51000
INV214,2023-08-07,2023-08-12,Classification,2,5,Finance,1,Approved,9500
INV215,2023-08-08,2023-08-25,Document Entry,9,17,Operations,1,Approved,43000
INV216,2023-08-09,2023-08-14,Classification,3,5,Finance,0,Approved,13000
INV217,2023-08-10,2023-08-31,Verification,14,21,Procurement,1,Approved,75000
INV218,2023-08-11,2023-08-16,Document Entry,4,5,Finance,0,Approved,15500
INV219,2023-08-12,2023-08-27,Document Entry,10,15,Operations,1,Approved,44000
INV220,2023-08-13,2023-08-18,Classification,3,5,Finance,0,Approved,11500
INV221,2023-08-14,2023-09-04,Verification,15,21,Procurement,1,Pending,78000
INV222,2023-08-15,2023-08-20,Document Entry,3,5,Finance,0,Approved,14500
INV223,2023-08-16,2023-08-31,Verification,11,15,Procurement,0,Approved,50000
INV224,2023-08-17,2023-08-22,Classification,2,5,Finance,1,Approved,9500
INV225,2023-08-18,2023-09-04,Document Entry,11,17,Operations,1,Approved,45000
INV226,2023-08-19,2023-08-24,Classification,3,5,Finance,0,Approved,13000
INV227,2023-08-20,2023-09-10,Verification,13,21,Procurement,1,Approved,72000
INV228,2023-08-21,2023-08-26,Document Entry,4,5,Finance,0,Approved,16000
INV229,2023-08-22,2023-09-06,Document Entry,9,15,Operations,1,Approved,38000
INV230,2023-08-23,2023-08-28,Classification,3,5,Finance,0,Approved,10500
INV231,2023-08-24,2023-09-14,Verification,14,21,Procurement,1,Approved,76000
INV232,2023-08-25,2023-08-30,Document Entry,3,5,Finance,0,Approved,15000
INV233,2023-08-26,2023-09-10,Verification,9,15,Procurement,0,Approved,49000
INV234,2023-08-27,2023-09-01,Classification,2,5,Finance,1,Approved,11000
INV235,2023-08-28,2023-09-14,Document Entry,10,17,Operations,1,Approved,42000
INV236,2023-08-29,2023-09-03,Classification,3,5,Finance,0,Approved,12500
INV237,2023-08-30,2023-09-20,Verification,15,21,Procurement,1,Approved,77000
INV238,2023-08-31,2023-09-05,Document Entry,4,5,Finance,0,Approved,15500
INV239,2023-09-01,2023-09-16,Document Entry,8,15,Operations,1,Approved,39000
INV240,2023-09-02,2023-09-07,Classification,3,5,Finance,0,Approved,10500
INV241,2023-09-03,2023-09-24,Verification,16,21,Procurement,1,Approved,79000
INV242,2023-09-04,2023-09-09,Document Entry,3,5,Finance,0,Approved,14000
INV243,2023-09-05,2023-09-20,Verification,10,15,Procurement,0,Approved,51000
INV244,2023-09-06,2023-09-11,Classification,2,5,Finance,1,Approved,9500
INV245,2023-09-07,2023-09-24,Document Entry,9,17,Operations,1,Approved,43000
INV246,2023-09-08,2023-09-13,Classification,3,5,Finance,0,Approved,13000
INV247,2023-09-09,2023-09-30,Verification,14,21,Procurement,1,Approved,75000
INV248,2023-09-10,2023-09-15,Document Entry,4,5,Finance,0,Approved,15500
INV249,2023-09-11,2023-09-26,Document Entry,10,15,Operations,1,Approved,44000
INV250,2023-09-12,2023-09-17,Classification,3,5,Finance,0,Approved,11500
INV251,2023-09-13,2023-10-03,Verification,15,20,Procurement,1,Pending,78000
INV252,2023-09-14,2023-09-19,Document Entry,3,5,Finance,0,Approved,14500
INV253,2023-09-15,2023-09-30,Verification,11,15,Procurement,0,Approved,50000
INV254,2023-09-16,2023-09-21,Classification,2,5,Finance,1,Approved,9500
INV255,2023-09-17,2023-10-03,Document Entry,11,16,Operations,1,Approved,45000
INV256,2023-09-18,2023-09-23,Classification,3,5,Finance,0,Approved,13000
INV257,2023-09-19,2023-10-10,Verification,13,21,Procurement,1,Approved,72000
INV258,2023-09-20,2023-09-25,Document Entry,4,5,Finance,0,Approved,16000
INV259,2023-09-21,2023-10-06,Document Entry,9,15,Operations,1,Approved,38000
INV260,2023-09-22,2023-09-27,Classification,3,5,Finance,0,Approved,10500
INV261,2023-09-23,2023-10-14,Verification,14,21,Procurement,1,Approved,76000
INV262,2023-09-24,2023-09-29,Document Entry,3,5,Finance,0,Approved,15000
INV263,2023-09-25,2023-10-10,Verification,9,15,Procurement,0,Approved,49000
INV264,2023-09-26,2023-10-01,Classification,2,5,Finance,1,Approved,11000
INV265,2023-09-27,2023-10-14,Document Entry,10,17,Operations,1,Approved,42000
INV266,2023-09-28,2023-10-03,Classification,3,5,Finance,0,Approved,12500
INV267,2023-09-29,2023-10-20,Verification,15,21,Procurement,1,Approved,77000
INV268,2023-09-30,2023-10-05,Document Entry,4,5,Finance,0,Approved,15500
INV269,2023-10-01,2023-10-16,Document Entry,8,15,Operations,1,Approved,39000
INV270,2023-10-02,2023-10-07,Classification,3,5,Finance,0,Approved,10500
INV271,2023-10-03,2023-10-24,Verification,16,21,Procurement,1,Approved,79000
INV272,2023-10-04,2023-10-09,Document Entry,3,5,Finance,0,Approved,14000
INV273,2023-10-05,2023-10-20,Verification,10,15,Procurement,0,Approved,51000
INV274,2023-10-06,2023-10-11,Classification,2,5,Finance,1,Approved,9500
INV275,2023-10-07,2023-10-24,Document Entry,9,17,Operations,1,Approved,43000
INV276,2023-10-08,2023-10-13,Classification,3,5,Finance,0,Approved,13000
INV277,2023-10-09,2023-10-30,Verification,14,21,Procurement,1,Approved,75000
INV278,2023-10-10,2023-10-15,Document Entry,4,5,Finance,0,Approved,15500
INV279,2023-10-11,2023-10-26,Document Entry,10,15,Operations,1,Approved,44000
INV280,2023-10-12,2023-10-17,Classification,3,5,Finance,0,Approved,11500
INV281,2023-10-13,2023-11-02,Verification,15,20,Procurement,1,Pending,78000
INV282,2023-10-14,2023-10-19,Document Entry,3,5,Finance,0,Approved,14500
INV283,2023-10-15,2023-10-30,Verification,11,15,Procurement,0,Approved,50000
INV284,2023-10-16,2023-10-21,Classification,2,5,Finance,1,Approved,9500
INV285,2023-10-17,2023-11-03,Document Entry,11,17,Operations,1,Approved,45000
INV286,2023-10-18,2023-10-23,Classification,3,5,Finance,0,Approved,13000
INV287,2023-10-19,2023-11-09,Verification,13,21,Procurement,1,Approved,72000
INV288,2023-10-20,2023-10-25,Document Entry,4,5,Finance,0,Approved,16000
INV289,2023-10-21,2023-11-05,Document Entry,9,15,Operations,1,Approved,38000
INV290,2023-10-22,2023-10-27,Classification,3,5,Finance,0,Approved,10500
INV291,2023-10-23,2023-11-13,Verification,14,21,Procurement,1,Approved,76000
INV292,2023-10-24,2023-10-29,Document Entry,3,5,Finance,0,Approved,15000
INV293,2023-10-25,2023-11-09,Verification,9,15,Procurement,0,Approved,49000
INV294,2023-10-26,2023-10-31,Classification,2,5,Finance,1,Approved,11000
INV295,2023-10-27,2023-11-13,Document Entry,10,17,Operations,1,Approved,42000
INV296,2023-10-28,2023-11-02,Classification,3,5,Finance,0,Approved,12500
INV297,2023-10-29,2023-11-19,Verification,15,21,Procurement,1,Approved,77000
INV298,2023-10-30,2023-11-04,Document Entry,4,5,Finance,0,Approved,15500
INV299,2023-10-31,2023-11-15,Document Entry,8,15,Operations,1,Approved,39000
INV300,2023-11-01,2023-11-06,Classification,3,5,Finance,0,Approved,10500
INV301,2023-11-02,2023-11-23,Verification,16,21,Procurement,1,Approved,79000
INV302,2023-11-03,2023-11-08,Document Entry,3,5,Finance,0,Approved,14000
INV303,2023-11-04,2023-11-19,Verification,10,15,Procurement,0,Approved,51000
INV304,2023-11-05,2023-11-10,Classification,2,5,Finance,1,Approved,9500
INV305,2023-11-06,2023-11-23,Document Entry,9,17,Operations,1,Approved,43000
INV306,2023-11-07,2023-11-12,Classification,3,5,Finance,0,Approved,13000
INV307,2023-11-08,2023-11-29,Verification,14,21,Procurement,1,Approved,75000
INV308,2023-11-09,2023-11-14,Document Entry,4,5,Finance,0,Approved,15500
INV309,2023-11-10,2023-11-25,Document Entry,10,15,Operations,1,Approved,44000
INV310,2023-11-11,2023-11-16,Classification,3,5,Finance,0,Approved,11500
INV311,2023-11-12,2023-12-02,Verification,15,20,Procurement,1,Pending,78000
INV312,2023-11-13,2023-11-18,Document Entry,3,5,Finance,0,Approved,14500
INV313,2023-11-14,2023-11-29,Verification,11,15,Procurement,0,Approved,50000
INV314,2023-11-15,2023-11-20,Classification,2,5,Finance,1,Approved,9500
INV315,2023-11-16,2023-12-02,Document Entry,11,16,Operations,1,Approved,45000
INV316,2023-11-17,2023-11-22,Classification,3,5,Finance,0,Approved,13000
INV317,2023-11-18,2023-12-09,Verification,13,21,Procurement,1,Approved,72000
INV318,2023-11-19,2023-11-24,Document Entry,4,5,Finance,0,Approved,16000
INV319,2023-11-20,2023-12-05,Document Entry,9,15,Operations,1,Approved,38000
INV320,2023-11-21,2023-11-26,Classification,3,5,Finance,0,Approved,10500
INV321,2023-11-22,2023-12-13,Verification,14,21,Procurement,1,Approved,76000
INV322,2023-11-23,2023-11-28,Document Entry,3,5,Finance,0,Approved,15000
INV323,2023-11-24,2023-12-09,Verification,9,15,Procurement,0,Approved,49000
INV324,2023-11-25,2023-11-30,Classification,2,5,Finance,1,Approved,11000
INV325,2023-11-26,2023-12-13,Document Entry,10,17,Operations,1,Approved,42000
INV326,2023-11-27,2023-12-02,Classification,3,5,Finance,0,Approved,12500
INV327,2023-11-28,2023-12-19,Verification,15,21,Procurement,1,Approved,77000
INV328,2023-11-29,2023-12-04,Document Entry,4,5,Finance,0,Approved,15500
INV329,2023-11-30,2023-12-15,Document Entry,8,15,Operations,1,Approved,39000
INV330,2023-12-01,2023-12-06,Classification,3,5,Finance,0,Approved,10500
INV331,2023-12-02,2023-12-23,Verification,16,21,Procurement,1,Approved,79000
INV332,2023-12-03,2023-12-08,Document Entry,3,5,Finance,0,Approved,14000
INV333,2023-12-04,2023-12-19,Verification,10,15,Procurement,0,Approved,51000
INV334,2023-12-05,2023-12-10,Classification,2,5,Finance,1,Approved,9500
INV335,2023-12-06,2023-12-23,Document Entry,9,17,Operations,1,Approved,43000
INV336,2023-12-07,2023-12-12,Classification,3,5,Finance,0,Approved,13000
INV337,2023-12-08,2023-12-29,Verification,14,21,Procurement,1,Approved,75000
INV338,2023-12-09,2023-12-14,Document Entry,4,5,Finance,0,Approved,15500
INV339,2023-12-10,2023-12-25,Document Entry,10,15,Operations,1,Approved,44000
INV340,2023-12-11,2023-12-16,Classification,3,5,Finance,0,Approved,11500
INV341,2023-12-12,2024-01-01,Verification,15,20,Procurement,1,Pending,78000
INV342,2023-12-13,2023-12-18,Document Entry,3,5,Finance,0,Approved,14500
INV343,2023-12-14,2023-12-29,Verification,11,15,Procurement,0,Approved,50000
INV344,2023-12-15,2023-12-20,Classification,2,5,Finance,1,Approved,9500
INV345,2023-12-16,2024-01-02,Document Entry,11,17,Operations,1,Approved,45000
INV346,2023-12-17,2023-12-22,Classification,3,5,Finance,0,Approved,13000
